date,rainfall_mm,SPI_1,SPI_category
2016-12-01,39.19,-0.4106421889616798,Near Normal
2017-01-01,40.53,0.3330031412181335,Near Normal
2017-02-01,13.3,-1.1206907854032853,Moderate Drought
2017-03-01,72.6,-0.20409169122581602,Near Normal
2017-04-01,242.31,2.164316052212263,Extremely Wet
2017-05-01,109.0,-0.5743114061111911,Near Normal
2017-06-01,96.33,-0.6180023559885047,Near Normal
2017-07-01,109.56,0.10944148251128644,Near Normal
2017-08-01,136.69,0.5554764988294694,Near Normal
2017-09-01,67.22,-0.5824753631792547,Near Normal
2017-10-01,128.81,0.6020549219178629,Near Normal
2017-11-01,12.88,-1.22240644625176,Moderate Drought
2017-12-01,17.34,-1.176390808853524,Moderate Drought
2018-01-01,24.09,-0.5301979814074971,Near Normal
2018-02-01,57.32,0.7179677885777073,Near Normal
2018-03-01,58.260000000000005,-0.6368647502466375,Near Normal
2018-04-01,30.8,-1.2971508903986813,Moderate Drought
2018-05-01,168.07,0.3704815238462065,Near Normal
2018-06-01,76.21,-0.9777491256394508,Near Normal
2018-07-01,96.81,-0.1391611407797524,Near Normal
2018-08-01,215.09,1.8010645749930003,Very Wet
2018-09-01,91.29,-0.18484248050268273,Near Normal
2018-10-01,187.33,1.6873784283139721,Very Wet
2018-11-01,48.14,-0.49261910422648775,Near Normal
2018-12-01,69.38,0.6473875975158842,Near Normal
2019-01-01,58.68000000000001,1.2859897820730726,Moderately Wet
2019-02-01,42.120000000000005,0.08308341046523392,Near Normal
2019-03-01,118.58,1.1835586054113798,Moderately Wet
2019-04-01,91.94,-0.29656420952669826,Near Normal
2019-05-01,375.2,3.683414646955666,Extremely Wet
2019-06-01,146.77,0.28386777627758497,Near Normal
2019-07-01,103.28,-0.013007495862652709,Near Normal
2019-08-01,343.86,3.8469112148855755,Extremely Wet
2019-09-01,139.13,0.6054673286891409,Near Normal
2019-10-01,100.35,0.07423012711209949,Near Normal
2019-11-01,46.28,-0.5311161109243608,Near Normal
2019-12-01,43.52,-0.25889429312041257,Near Normal
2020-01-01,59.53,1.33062001043267,Moderately Wet
2020-02-01,45.37,0.21883171499586118,Near Normal
2020-03-01,132.74,1.610899366620225,Very Wet
2020-04-01,94.72,-0.25106811903235554,Near Normal
2020-05-01,179.38,0.5513789004810155,Near Normal
2020-06-01,44.36,-1.5472289771992238,Severe Drought
2020-07-01,116.57,0.2461241797089476,Near Normal
2020-08-01,70.32,-0.49898371309621375,Near Normal
2020-09-01,58.13999999999999,-0.7324756363285391,Near Normal
2020-10-01,66.75,-0.5489221253641353,Near Normal
2020-11-01,55.22,-0.34608211098942226,Near Normal
2020-12-01,36.82,-0.4937005060849598,Near Normal
2021-01-01,83.67,2.5981184958452443,Extremely Wet
2021-02-01,17.29,-0.9540336361487609,Near Normal
2021-03-01,172.59,2.81354974332732,Extremely Wet
2021-04-01,65.37,-0.7313955492514052,Near Normal
2021-05-01,174.47,0.4728460871055149,Near Normal
2021-06-01,149.34,0.3298195256813091,Near Normal
2021-07-01,143.98,0.780571074172271,Near Normal
2021-08-01,71.91,-0.4737224243066727,Near Normal
2021-09-01,163.47,1.0075605719109006,Moderately Wet
2021-10-01,148.12,0.9601820051117943,Near Normal
2021-11-01,35.76,-0.7488518692370627,Near Normal
2021-12-01,54.6,0.12941210085677882,Near Normal
2022-01-01,14.72,-1.0221806163832974,Moderate Drought
2022-02-01,31.63,-0.35507034785054575,Near Normal
2022-03-01,98.72,0.5841950801566015,Near Normal
2022-04-01,77.21000000000001,-0.5376280271460031,Near Normal
2022-05-01,206.28,0.9816299554302961,Near Normal
2022-06-01,132.09,0.021388522874210694,Near Normal
2022-07-01,73.77,-0.5884007047503826,Near Normal
2022-08-01,64.28,-0.5949448352904448,Near Normal
2022-09-01,24.86,-1.2822563731576337,Moderate Drought
2022-10-01,49.39,-0.8708841224768566,Near Normal
2022-11-01,98.66,0.5530092712447761,Near Normal
2022-12-01,55.09,0.14658449553627562,Near Normal
2023-01-01,53.02,0.9888049673491631,Near Normal
